date,sku,category,units_sold,promotion
2020-01-01,SKU_101,grocery,117,0
2020-01-02,SKU_101,grocery,94,0
2020-01-03,SKU_101,grocery,91,0
2020-01-04,SKU_101,grocery,102,0
2020-01-05,SKU_101,grocery,118,0
2020-01-06,SKU_101,grocery,107,0
2020-01-07,SKU_101,grocery,101,0
2020-01-08,SKU_101,grocery,103,0
2020-01-09,SKU_101,grocery,103,0
2020-01-10,SKU_101,grocery,88,0
2020-01-11,SKU_101,grocery,108,0
2020-01-12,SKU_101,grocery,109,0
2020-01-13,SKU_101,grocery,101,0
2020-01-14,SKU_101,grocery,111,0
2020-01-15,SKU_101,grocery,107,0
2020-01-16,SKU_101,grocery,98,0
2020-01-17,SKU_101,grocery,102,0
2020-01-18,SKU_101,grocery,103,0
2020-01-19,SKU_101,grocery,117,0
2020-01-20,SKU_101,grocery,103,0
2020-01-21,SKU_101,grocery,110,0
2020-01-22,SKU_101,grocery,112,0
2020-01-23,SKU_101,grocery,106,0
2020-01-24,SKU_101,grocery,94,0
2020-01-25,SKU_101,grocery,114,0
2020-01-26,SKU_101,grocery,110,0
2020-01-27,SKU_101,grocery,94,0
2020-01-28,SKU_101,grocery,119,0
2020-01-29,SKU_101,grocery,118,0
2020-01-30,SKU_101,grocery,102,0
2020-01-31,SKU_101,grocery,98,0
2020-02-01,SKU_101,grocery,118,0
2020-02-02,SKU_101,grocery,112,0
2020-02-03,SKU_101,grocery,100,0
2020-02-04,SKU_101,grocery,103,0
2020-02-05,SKU_101,grocery,117,0
2020-02-06,SKU_101,grocery,112,0
2020-02-07,SKU_101,grocery,98,0
2020-02-08,SKU_101,grocery,110,0
2020-02-09,SKU_101,grocery,110,0
2020-02-10,SKU_101,grocery,99,0
2020-02-11,SKU_101,grocery,115,0
2020-02-12,SKU_101,grocery,114,0
2020-02-13,SKU_101,grocery,111,0
2020-02-14,SKU_101,grocery,96,0
2020-02-15,SKU_101,grocery,112,0
2020-02-16,SKU_101,grocery,105,0
2020-02-17,SKU_101,grocery,94,0
2020-02-18,SKU_101,grocery,105,0
2020-02-19,SKU_101,grocery,124,0
2020-02-20,SKU_101,grocery,113,0
2020-02-21,SKU_101,grocery,95,0
2020-02-22,SKU_101,grocery,110,0
2020-02-23,SKU_101,grocery,103,0
2020-02-24,SKU_101,grocery,104,0
2020-02-25,SKU_101,grocery,101,0
2020-02-26,SKU_101,grocery,110,0
2020-02-27,SKU_101,grocery,108,0
2020-02-28,SKU_101,grocery,95,0
2020-02-29,SKU_101,grocery,114,0
2020-03-01,SKU_101,grocery,127,0
2020-03-02,SKU_101,grocery,106,0
2020-03-03,SKU_101,grocery,104,0
2020-03-04,SKU_101,grocery,108,0
2020-03-05,SKU_101,grocery,98,0
2020-03-06,SKU_101,grocery,96,0
2020-03-07,SKU_101,grocery,106,0
2020-03-08,SKU_101,grocery,123,0
2020-03-09,SKU_101,grocery,125,0
2020-03-10,SKU_101,grocery,106,0
2020-03-11,SKU_101,grocery,118,0
2020-03-12,SKU_101,grocery,106,0
2020-03-13,SKU_101,grocery,97,0
2020-03-14,SKU_101,grocery,115,0
2020-03-15,SKU_101,grocery,109,0
2020-03-16,SKU_101,grocery,100,0
2020-03-17,SKU_101,grocery,115,0
2020-03-18,SKU_101,grocery,117,0
2020-03-19,SKU_101,grocery,105,0
2020-03-20,SKU_101,grocery,91,0
2020-03-21,SKU_101,grocery,130,0
2020-03-22,SKU_101,grocery,124,0
2020-03-23,SKU_101,grocery,111,0
2020-03-24,SKU_101,grocery,112,0
2020-03-25,SKU_101,grocery,111,0
2020-03-26,SKU_101,grocery,106,0
2020-03-27,SKU_101,grocery,89,0
2020-03-28,SKU_101,grocery,126,0
2020-03-29,SKU_101,grocery,117,0
2020-03-30,SKU_101,grocery,114,0
2020-03-31,SKU_101,grocery,110,0
2020-04-01,SKU_101,grocery,118,0
2020-04-02,SKU_101,grocery,109,0
2020-04-03,SKU_101,grocery,87,0
2020-04-04,SKU_101,grocery,126,0
2020-04-05,SKU_101,grocery,114,0
2020-04-06,SKU_101,grocery,94,0
2020-04-07,SKU_101,grocery,117,0
2020-04-08,SKU_101,grocery,115,0
2020-04-09,SKU_101,grocery,111,0
2020-04-10,SKU_101,grocery,98,0
2020-04-11,SKU_101,grocery,98,0
2020-04-12,SKU_101,grocery,110,0
2020-04-13,SKU_101,grocery,96,0
2020-04-14,SKU_101,grocery,120,0
2020-04-15,SKU_101,grocery,115,0
2020-04-16,SKU_101,grocery,112,0
2020-04-17,SKU_101,grocery,95,0
2020-04-18,SKU_101,grocery,118,0
2020-04-19,SKU_101,grocery,115,0
2020-04-20,SKU_101,grocery,101,0
2020-04-21,SKU_101,grocery,114,0
2020-04-22,SKU_101,grocery,116,0
2020-04-23,SKU_101,grocery,127,0
2020-04-24,SKU_101,grocery,91,0
2020-04-25,SKU_101,grocery,103,0
2020-04-26,SKU_101,grocery,119,0
2020-04-27,SKU_101,grocery,98,0
2020-04-28,SKU_101,grocery,97,0
2020-04-29,SKU_101,grocery,107,0
2020-04-30,SKU_101,grocery,125,0
