Component 1,Component 2,Component 3,Pokémon
-76.49644,0.43771517,-31.757647,bulbasaur
-27.527466,20.033684,-34.008358,ivysaur
-47.157055,-23.459883,-58.647842,venusaur
14.928675,-7.820768,-19.706373,charmander
35.215034,-13.063642,-24.44261,charmeleon
2.0355208,5.1393404,-8.372998,charizard
58.227135,15.828585,-3.412162,squirtle
25.789057,-22.952227,30.742252,wartortle
3.620244,-44.327618,0.3767672,blastoise
28.571453,9.765283,-53.602306,caterpie
46.78982,12.523633,53.37157,metapod
63.755825,50.350338,-23.579678,butterfree
16.922514,-31.148777,81.67154,weedle
-55.232395,41.104286,20.91562,kakuna
12.79049,69.87074,-59.149303,beedrill
74.29565,-38.345875,38.086357,pidgey
102.0009,-8.399443,8.923586,pidgeotto
82.98385,-12.869548,24.344301,pidgeot
28.918154,76.906944,33.56441,rattata
23.89906,56.839653,24.529503,raticate
39.008194,-80.54001,69.076866,spearow
-27.553944,71.81656,36.137295,fearow
-60.102566,48.10264,-2.9147189,ekans
-38.21278,21.34834,-86.31997,arbok
-37.832603,-13.450731,12.529855,pikachu
-63.949734,-1.5298138,-13.983546,raichu
-12.347422,1.1576477,-56.079002,sandshrew
-26.35186,43.932568,72.10055,sandslash
-63.972454,-70.632996,62.95827,nidoran
-1.6190057,-47.800766,-44.916355,nidorina
-5.096522,-94.64396,-67.968864,nidoqueen
-63.972454,-70.632996,62.95827,nidoran
13.68381,-52.828148,-36.71456,nidorino
28.11053,-67.76556,-36.160706,nidoking
-104.66891,-16.96733,-4.0721188,clefairy
-99.10283,-36.053326,-4.099622,clefable
-0.93310994,40.977104,-33.61077,vulpix
72.07463,13.242889,-78.85136,ninetales
27.623756,-85.68227,-74.45322,jigglypuff
43.215393,-77.07776,-72.48537,wigglytuff
-67.331436,68.21738,2.729528,zubat
-29.107883,-75.02431,23.467085,golbat
-23.87531,-8.884759,78.46604,oddish
-21.653418,-59.33621,30.285429,gloom
-15.177115,109.85484,7.237825,vileplume
22.791199,31.481956,-95.71387,paras
17.379034,56.24477,3.5310247,parasect
-36.467903,-97.00772,57.69316,venonat
-71.157425,68.937294,-74.57752,venomoth
50.22993,-74.285515,-108.30775,diglett
61.5943,-0.47890487,12.784194,dugtrio
26.469948,11.228087,41.374107,meowth
-6.908943,28.468523,-15.804321,persian
69.54318,-41.35559,-29.30333,psyduck
-65.16008,78.44859,63.460857,golduck
-46.854042,-47.149136,-1.894664,mankey
-112.74005,33.96121,16.690458,primeape
103.23716,-0.77563024,-21.714298,growlithe
-95.86905,6.4277706,-77.94128,arcanine
-71.075226,-83.91067,12.101535,poliwag
-27.778822,91.04672,-55.06092,poliwhirl
11.356638,-66.33592,0.6982171,poliwrath
-31.860415,9.6998825,118.12662,abra
-45.726448,30.15746,-72.32688,kadabra
-43.59094,54.685654,-3.6236336,alakazam
-60.86467,-3.2627885,18.171938,machop
-34.78385,-10.517578,38.954365,machoke
-5.648376,156.18044,160.5176,machamp
46.11283,-98.70895,15.80226,bellsprout
-23.59038,-78.11742,-77.99656,weepinbell
88.96652,22.864885,-30.383785,victreebel
39.21332,-69.73148,8.436491,tentacool
67.327805,28.049768,-21.607119,tentacruel
37.452763,-37.01085,81.96406,geodude
11.862104,-2.8259718,101.36267,graveler
-34.541107,-44.61358,23.373127,golem
62.07781,3.1827219,110.07412,ponyta
-5.9713917,17.44056,2.3569765,rapidash
6.190021,-88.53336,-1.8673661,slowpoke
4.0944495,-54.551025,39.71634,slowbro
63.182583,-32.10661,-88.79512,magnemite
-75.37873,0.865986,61.082706,magneton
68.61982,77.07521,-4.9808254,farfetchd
66.243195,27.60853,59.533302,doduo
38.561993,18.671297,73.094406,dodrio
-75.76192,44.08662,-16.78483,seel
6.9295797,-1.2409518,61.01896,dewgong
19.00825,36.433956,36.226902,grimer
-45.638752,77.1739,-12.266973,muk
34.52523,64.65882,-62.71189,shellder
189.39484,-218.83418,104.98193,cloyster
8.20355,71.962204,77.9673,gastly
-33.678673,-12.314468,-56.725475,haunter
-18.46346,52.16676,35.405827,gengar
-19.459932,32.146046,-98.57677,onix
11.84581,-13.882147,79.9462,drowzee
14.16548,-18.80591,-101.58232,hypno
-43.14174,14.077542,-104.749344,krabby
-87.78693,-22.229866,50.928238,kingler
17.413374,-41.850346,32.249943,voltorb
