Component 1,Component 2,Component 3,Pokémon
40.78564,3.9711807,-2.7251372,bulbasaur
21.118698,-18.244637,11.67988,ivysaur
33.083637,-10.584276,0.61346734,venusaur
30.42951,28.433756,-29.513416,charmander
25.898296,38.076305,-19.540817,charmeleon
28.353676,-73.77547,-21.619743,charizard
66.32495,-38.304466,-46.041153,squirtle
18.458763,-70.999146,59.75624,wartortle
-49.4565,27.605427,60.511024,blastoise
76.83403,-2.0282986,-16.21971,caterpie
-24.126205,-39.959717,32.78096,metapod
23.375368,77.27258,4.2184267,butterfree
-56.967175,56.93521,-20.07727,weedle
-40.970722,84.88754,34.61626,kakuna
55.90015,-44.565823,-56.96957,beedrill
-50.911728,-86.48956,-17.02332,pidgey
48.24723,10.567865,13.347584,pidgeotto
-13.840186,-31.632742,43.73587,pidgeot
70.01095,28.08968,-52.546074,rattata
87.32045,-18.381016,-27.292118,raticate
45.41195,-36.59385,45.215157,spearow
43.762016,-18.747477,62.40873,fearow
-41.756355,43.428455,7.7308383,ekans
-62.167706,9.302224,-12.166422,arbok
-4.32026,10.377291,10.49797,pikachu
-18.340519,8.612305,3.2965207,raichu
38.233303,12.679535,-16.28931,sandshrew
-49.558254,-31.483664,13.069833,sandslash
-74.7062,-27.521673,-34.381958,nidoran
-66.71988,-32.33283,-54.878925,nidorina
20.962917,39.1414,3.904438,nidoqueen
-82.31211,-21.046934,-42.590855,nidoran
17.86946,-63.82062,15.225912,nidorino
-9.919746,-28.426584,-65.01911,nidoking
41.857952,-12.961392,-37.160217,clefairy
78.27258,-36.07379,-49.646606,clefable
-49.030937,-3.096868,-13.444177,vulpix
-23.262203,64.09707,-49.141747,ninetales
34.96449,15.548903,-65.693756,jigglypuff
25.753525,23.776213,-66.89737,wigglytuff
-39.899708,15.009736,15.929283,zubat
-30.044212,-1.5893129,19.773813,golbat
-28.465414,-2.0394077,-19.80899,oddish
-43.023617,-30.333176,-23.741867,gloom
3.4010327,66.270546,-28.933266,vileplume
-36.01164,49.79394,17.072836,paras
103.70169,-16.0022,-26.015762,parasect
-21.288902,-11.019052,32.1293,venonat
2.7882588,-3.1614113,54.89034,venomoth
-0.94029635,-27.076822,45.278282,diglett
36.044296,-54.978737,23.653004,dugtrio
-19.558886,4.736616,-13.441887,meowth
-66.39627,-18.94618,-45.898247,persian
-11.187409,15.865558,68.70886,psyduck
-1.8680727,13.70671,76.710434,golduck
-76.89756,59.364983,-24.266178,mankey
75.26987,-16.96726,-23.032345,primeape
-6.1662197,87.82867,-6.36632,growlithe
78.19138,12.378023,-14.0065975,arcanine
-20.27826,-4.338569,-64.9972,poliwag
-6.3632765,-52.84567,-37.772724,poliwhirl
40.021725,11.728774,33.098072,poliwrath
-25.12637,61.5525,32.346672,abra
3.88758,-36.739902,95.9758,kadabra
0.948861,-7.9854794,-50.526814,alakazam
-17.773577,-12.341899,-11.445603,machop
73.69896,43.49669,2.3653114,machoke
-12.984624,2.319983,37.06897,machamp
29.476633,27.664087,-45.66248,bellsprout
-71.77423,-40.07773,54.093163,weepinbell
-15.489234,-8.368476,-102.64556,victreebel
50.27061,50.09302,35.654232,tentacool
-75.84079,-29.63289,43.445442,tentacruel
-27.958609,-58.47397,26.396225,geodude
30.610785,-35.463608,-25.05494,graveler
-48.97362,42.459103,-12.425494,golem
-45.874844,27.889324,6.453136,ponyta
1.7811688,-11.417979,64.851234,rapidash
61.42546,-30.916803,-21.836634,slowpoke
40.337406,-46.67347,32.518837,slowbro
6.040386,76.549095,-0.4882023,magnemite
16.97666,32.480396,18.02406,magneton
16.499474,65.80568,48.767143,farfetchd
-73.79519,14.473015,-8.295166,doduo
41.875492,-8.094887,70.52203,dodrio
-47.007763,60.42382,21.761482,seel
-11.464001,-12.424914,-60.954353,dewgong
18.770077,-33.036846,82.073845,grimer
-36.09399,68.660324,35.833927,muk
31.575377,-24.692114,-16.096287,shellder
42.319305,-24.62561,-25.746561,cloyster
-91.02871,52.91937,-24.045328,gastly
9.080564,-25.38824,9.161931,haunter
-83.70772,-60.76599,0.6689219,gengar
-41.95835,58.24576,49.984074,onix
-23.99611,-68.85589,14.204001,drowzee
-62.25193,12.391151,-30.483908,hypno
-105.78965,38.8451,-19.331774,krabby
9.895816,-34.947754,18.316322,kingler
-12.00625,-44.829407,54.03514,voltorb
