Component 1,Component 2,Component 3,Pokémon
39.36594,-44.2985,14.7456455,bulbasaur
14.377642,-31.566124,58.235123,ivysaur
47.651554,-23.523972,9.469843,venusaur
-0.080114126,20.128801,17.866446,charmander
-8.25275,30.879168,24.29253,charmeleon
7.362312,21.439697,5.9972553,charizard
56.29009,-63.893906,30.09601,squirtle
32.091618,-32.174973,-50.59994,wartortle
43.759304,-69.206314,3.6921992,blastoise
0.099724226,-13.1611805,-5.47167,caterpie
-40.779198,3.5580435,-24.025915,metapod
-44.46215,60.077713,13.914024,butterfree
-51.414158,21.647623,60.69094,weedle
4.166404,66.21416,7.9016376,kakuna
-45.57465,9.216716,36.081287,beedrill
-56.64503,-11.848941,-9.164733,pidgey
-51.112625,-13.1056,-37.098885,pidgeotto
-52.727104,-9.915199,-24.983252,pidgeot
4.5017395,-31.778467,-39.228977,rattata
4.6688404,-22.884277,-25.612652,raticate
-3.8381891,-52.423542,26.922215,spearow
-23.454706,14.623857,83.00047,fearow
-4.729317,54.26241,-4.1187615,ekans
60.271786,47.560143,41.529476,arbok
-12.042078,-29.581455,66.79648,pikachu
-0.46497604,-33.208363,62.853096,raichu
39.03428,29.148916,-2.3649826,sandshrew
41.104576,42.971962,-7.662328,sandslash
94.14607,25.33481,-30.543465,nidoran
78.23595,26.552814,-28.92437,nidorina
-86.79766,29.78347,-10.329571,nidoqueen
-41.176174,-62.960297,37.941822,nidoran
77.49413,9.83928,-29.785917,nidorino
66.1753,25.663067,-40.819622,nidoking
21.882278,-2.1448762,15.701447,clefairy
-36.7482,60.025497,-26.118328,clefable
-48.690945,-24.3398,43.075104,vulpix
-18.505,34.79429,-20.239777,ninetales
25.000645,-102.36044,-1.7772272,jigglypuff
-32.028957,93.46447,-8.1420765,wigglytuff
16.007011,-56.487988,-18.348871,zubat
25.83735,-64.78618,-23.720331,golbat
79.12603,7.299593,-7.9620724,oddish
-108.95519,45.064205,49.57096,gloom
-49.456783,-8.273201,40.597836,vileplume
6.297758,8.340536,-22.907331,paras
1.9606518,-6.673356,-18.390526,parasect
-7.899566,14.283229,-75.516464,venonat
-18.42149,9.220388,-84.21689,venomoth
-57.764904,-37.42144,-25.26376,diglett
-67.811935,-9.66312,-39.19631,dugtrio
-26.24052,5.4481683,-95.50463,meowth
-0.15005162,-33.03493,7.582789,persian
-26.237818,-24.182774,76.35574,psyduck
-81.80468,-9.367652,-47.721348,golduck
-2.8590043,56.386818,23.511225,mankey
-15.992175,-19.815252,-1.6866292,primeape
-52.86093,-48.15869,-13.729481,growlithe
-13.24446,41.436275,-10.380133,arcanine
-72.06052,-55.457012,-2.1860914,poliwag
-62.636127,-40.563152,11.333712,poliwhirl
-12.123121,180.49132,-16.49712,poliwrath
32.502327,67.881355,46.62641,abra
86.284805,-33.44437,-24.79683,kadabra
20.485535,80.223976,25.95203,alakazam
2.7280266,31.613321,53.810055,machop
-4.872124,42.525642,32.424435,machoke
7.877879,21.60481,59.95789,machamp
39.622597,-60.730816,21.8576,bellsprout
-52.44535,7.7173634,50.91475,weepinbell
5.7489324,-8.5192585,6.4569826,victreebel
34.178574,-9.10106,-31.835678,tentacool
37.281334,-17.842598,-17.835703,tentacruel
80.39239,-12.550307,48.48719,geodude
-5.901105,3.4019985,22.781023,graveler
2.6982098,63.576473,-42.809944,golem
-19.38482,0.029330283,-55.6232,ponyta
11.517383,20.395828,-8.938379,rapidash
5.0031824,-61.873707,29.97419,slowpoke
26.41108,-63.50457,32.156616,slowbro
0.78352875,34.671062,-60.96495,magnemite
2.575007,22.300184,-69.548775,magneton
26.926842,9.834659,27.7785,farfetchd
-24.607742,-89.94248,11.072573,doduo
78.43784,-5.9941945,-18.30696,dodrio
-46.76443,34.945496,42.933025,seel
19.223574,16.973553,-71.19566,dewgong
-10.694576,-8.395002,32.944138,grimer
54.21452,-18.439997,24.179228,muk
-41.877872,21.079063,32.531372,shellder
-54.002174,19.55921,3.2255385,cloyster
38.35426,-70.92728,-20.967064,gastly
42.541622,-20.305254,-6.4288216,haunter
-27.567171,-65.38003,-22.983398,gengar
74.07331,4.6659617,-45.909325,onix
-35.837406,23.862762,78.84496,drowzee
-31.744202,-0.986023,-65.95865,hypno
51.525978,58.223167,50.560467,krabby
-38.712887,-56.99149,-15.013357,kingler
62.84097,18.303988,41.3722,voltorb
