Component 1,Component 2,Component 3,Pokémon
-22.988644,3.2583354,19.783672,bulbasaur
-30.355284,-2.3874574,18.734112,ivysaur
-28.443674,-7.915013,14.017895,venusaur
-21.149445,9.056713,25.931124,charmander
3.6450639,29.930393,10.121807,charmeleon
-23.040068,14.069129,33.80853,charizard
-24.256159,44.640255,0.7846095,squirtle
-28.492895,42.23016,6.228079,wartortle
-2.196231,-8.699078,58.31365,blastoise
5.6480517,-21.24199,-11.786836,caterpie
16.721062,62.955753,-2.4793036,metapod
-2.7995765,-19.743902,-7.678001,butterfree
22.830503,37.521126,-13.346485,weedle
22.033201,-9.962578,8.554741,kakuna
-9.630979,-34.09788,-8.735335,beedrill
8.119533,-28.977993,19.79227,pidgey
2.0481088,-34.079063,17.931257,pidgeotto
-6.8135304,-36.26718,18.632536,pidgeot
-7.038701,-14.576247,13.832873,rattata
-0.09425454,-9.335429,18.60418,raticate
-8.377065,-37.44981,29.67949,spearow
-12.739925,-34.99043,35.44467,fearow
14.653907,57.856476,-18.383858,ekans
21.287447,55.213955,-9.222234,arbok
24.396923,-35.115753,7.72684,pikachu
28.172398,-27.370447,10.918282,raichu
230.69632,-198.9451,31.062622,sandshrew
-259.84738,153.94788,-18.10171,sandslash
-30.767902,-41.018772,-27.619806,nidoran♀
-51.333458,13.786716,15.923865,nidorina
-47.725887,1.8319768,24.313393,nidoqueen
54.579678,8.155644,9.43124,nidoran♂
28.468668,22.686565,33.48469,nidorino
-38.570087,0.13766092,26.69664,nidoking
-13.840981,-15.170333,-18.393112,clefairy
-18.516949,-4.6720014,-25.747318,clefable
-1.2916557,31.454754,21.135725,vulpix
-33.50585,0.3272716,42.672886,ninetales
-22.508453,-21.073027,-28.499119,jigglypuff
-18.574171,-13.65698,-24.397919,wigglytuff
-23.516144,-46.46441,15.476488,zubat
-15.983639,-41.161804,15.43081,golbat
12.408102,38.485474,-16.982876,oddish
40.559853,49.897808,-11.677386,gloom
8.4264765,24.48704,3.0634868,vileplume
16.206213,57.78583,-28.024199,paras
-11.739651,-33.07734,0.7974797,parasect
-11.926584,-32.92625,9.98791,venonat
27.167574,63.492317,-12.988603,venomoth
-55.415993,33.919388,-24.464735,diglett
13.209788,23.750124,-5.1970205,dugtrio
0.3974691,-48.84171,34.527767,meowth
8.316646,20.346624,24.620909,persian
10.289425,-62.097736,-1.3066751,psyduck
14.08994,-60.205753,-7.413,golduck
23.16532,48.248913,-12.824549,mankey
2.5963042,-6.067741,27.094234,primeape
-9.858597,16.595316,22.775871,growlithe
1.2732121,24.353462,19.189087,arcanine
26.02513,-47.86291,-25.161682,poliwag
18.455595,-48.449615,-26.22316,poliwhirl
18.772806,-53.957813,-18.610815,poliwrath
21.52709,10.596609,-3.0174375,abra
20.96314,0.94165814,3.2568667,kadabra
37.02701,-26.602804,10.385123,alakazam
-24.041777,-6.990142,-60.638336,machop
5.0966053,-4.1475925,33.782513,machoke
-17.784536,-11.4039,-54.311832,machamp
-48.277416,-15.824662,-5.1583657,bellsprout
-0.804563,-59.314934,117.76589,weepinbell
-45.70139,-7.538306,-1.8809457,victreebel
13.072848,-39.728874,-25.542013,tentacool
-9.827623,-1.1252408,-30.895098,tentacruel
-46.35736,30.459852,-20.404963,geodude
29.605326,33.909378,-21.982876,graveler
29.725157,53.63517,-2.0694442,golem
25.411922,-4.07486,-4.305114,ponyta
-32.729904,2.297964,33.403744,rapidash
22.996477,31.762388,-5.4893117,slowpoke
-26.36015,-0.8593732,-31.19285,slowbro
-37.862957,26.903767,-16.61001,magnemite
2.581768,38.079453,-17.73024,magneton
46.346527,-27.632812,10.44318,farfetch'd
20.519197,-20.43203,15.790295,doduo
20.2774,-18.445189,22.929543,dodrio
36.93085,29.828215,-16.074871,seel
39.349865,-37.90753,-22.520912,dewgong
27.521173,29.998434,-30.588827,grimer
6.0974593,62.50545,-16.303932,muk
-13.752198,38.267086,4.5904965,shellder
-5.0755157,33.821133,6.198959,cloyster
-19.866486,2.854995,-16.311388,gastly
31.782642,47.077377,-16.651592,haunter
-21.479479,6.99902,-9.468562,gengar
17.429642,50.639103,0.9907021,onix
11.885505,0.5192653,3.462338,drowzee
8.988832,19.03596,-12.329488,hypno
26.410362,5.476784,10.467478,krabby
15.374791,-52.838722,-34.595863,kingler
10.110571,39.556934,9.606389,voltorb
